                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2355,                0.79856,                      1,                 1.1941,             0.00023605,             0.00023605,             0.00023605
                      2,                0.60487,                0.84173,                      1,                 1.0902,             0.00046936,             0.00046936,             0.00046936
                      3,                0.46016,                0.90288,                      1,                  1.029,             0.00069795,             0.00069795,             0.00069795
                      4,                0.36175,                0.92626,                      1,                 1.0075,             0.00069279,             0.00069279,             0.00069279
                      5,                0.29933,                0.90647,                      1,                0.99965,             0.00068573,             0.00068573,             0.00068573
                      6,                0.28791,                0.90468,                      1,                  1.011,             0.00067866,             0.00067866,             0.00067866
                      7,                0.26122,                0.91547,                      1,                 1.0039,             0.00067159,             0.00067159,             0.00067159
                      8,                0.20483,                0.91007,                      1,                0.99485,             0.00066452,             0.00066452,             0.00066452
                      9,                0.18248,                0.93525,                      1,                0.97745,             0.00065745,             0.00065745,             0.00065745
                     10,                0.17413,                0.91906,                      1,                0.98544,             0.00065038,             0.00065038,             0.00065038
                     11,                0.17024,                0.92806,                      1,                 0.9867,             0.00064331,             0.00064331,             0.00064331
                     12,                0.13936,                0.93525,                      1,                0.96869,             0.00063625,             0.00063625,             0.00063625
                     13,                0.14017,                0.92986,                      1,                0.97116,             0.00062918,             0.00062918,             0.00062918
                     14,                0.11942,                0.93345,                      1,                0.97515,             0.00062211,             0.00062211,             0.00062211
                     15,                0.11165,                0.94424,                      1,                0.96736,             0.00061504,             0.00061504,             0.00061504
                     16,                0.10395,                0.93525,                      1,                0.97385,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.0897,                0.93885,                      1,                0.97364,              0.0006009,              0.0006009,              0.0006009
                     18,                 0.0975,                0.92806,                      1,                0.97202,             0.00059383,             0.00059383,             0.00059383
                     19,                0.09716,                0.92086,                      1,                0.98233,             0.00058677,             0.00058677,             0.00058677
                     20,                0.08205,                0.93165,                      1,                0.96801,              0.0005797,              0.0005797,              0.0005797
                     21,                0.08768,                0.93345,                      1,                0.97108,             0.00057263,             0.00057263,             0.00057263
                     22,                0.07756,                0.93345,                      1,                0.96742,             0.00056556,             0.00056556,             0.00056556
                     23,                0.07508,                0.93345,                      1,                0.97194,             0.00055849,             0.00055849,             0.00055849
                     24,                 0.0763,                0.93885,                      1,                0.96618,             0.00055142,             0.00055142,             0.00055142
